country,item,year,production
USA,Soybean oil,2016,10035.0
USA,Soybean oil,2017,10793.0
USA,Soybean oil,2018,10845.0
USA,Soybean oil,2019,10879.0
USA,Soybean oil,2020,11020.0
USA,Soybean oil,2021,11136.0
USA,Soybean oil,2022,11251.0
USA,Soybean oil,2023,11365.0
USA,Soybean oil,2024,11533.0
USA,Soybean oil,2025,11675.0
USA,Soybean oil,2026,11816.0
USA,Soybean oil,2027,11957.0
USA,Soybean oil,2028,12071.0
USA,Cotton,2016,17170.0
USA,Cotton,2017,20923.0
USA,Cotton,2018,19763.0
USA,Cotton,2019,22257.0
USA,Cotton,2020,20224.0
USA,Cotton,2021,20360.0
USA,Cotton,2022,20496.0
USA,Cotton,2023,20818.0
USA,Cotton,2024,21143.0
USA,Cotton,2025,21470.0
USA,Cotton,2026,21799.0
USA,Cotton,2027,22131.0
USA,Cotton,2028,22456.0
USA,Soybeans,2016,116920.0
USA,Soybeans,2017,120039.0
USA,Soybeans,2018,127631.0
USA,Soybeans,2019,111312.0
USA,Soybeans,2020,112536.0
USA,Soybeans,2021,114441.0
USA,Soybeans,2022,116210.0
USA,Soybeans,2023,118252.0
USA,Soybeans,2024,120157.0
USA,Soybeans,2025,122198.0
USA,Soybeans,2026,123423.0
USA,Soybeans,2027,125464.0
USA,Soybeans,2028,126688.0
USA,Barley,2016,4353.0
USA,Barley,2017,3090.0
USA,Barley,2018,3333.0
USA,Barley,2019,3571.0
USA,Barley,2020,3614.0
USA,Barley,2021,3810.0
USA,Barley,2022,3854.0
USA,Barley,2023,4050.0
USA,Barley,2024,4093.0
USA,Barley,2025,4115.0
USA,Barley,2026,4159.0
USA,Barley,2027,4202.0
USA,Barley,2028,4224.0
USA,Rice,2016,7117.0
USA,Rice,2017,5659.0
USA,Rice,2018,6947.0
USA,Rice,2019,6588.0
USA,Rice,2020,6398.0
USA,Rice,2021,6430.0
USA,Rice,2022,6582.0
USA,Rice,2023,6614.0
USA,Rice,2024,6649.0
USA,Rice,2025,6681.0
USA,Rice,2026,6715.0
USA,Rice,2027,6747.0
USA,Rice,2028,6782.0
USA,Pork,2016,11320.0
USA,Pork,2017,11611.0
USA,Pork,2018,11992.0
USA,Pork,2019,12621.0
USA,Pork,2020,12817.0
USA,Pork,2021,12922.0
USA,Pork,2022,13063.0
USA,Pork,2023,13185.0
USA,Pork,2024,13256.0
USA,Pork,2025,13361.0
USA,Pork,2026,13513.0
USA,Pork,2027,13635.0
USA,Pork,2028,13801.0
USA,Poultry,2016,21223.0
USA,Poultry,2017,21651.0
USA,Poultry,2018,22026.0
USA,Poultry,2019,22424.0
USA,Poultry,2020,22403.0
USA,Poultry,2021,22648.0
USA,Poultry,2022,22837.0
USA,Poultry,2023,23015.0
USA,Poultry,2024,23241.0
USA,Poultry,2025,23434.0
USA,Poultry,2026,23588.0
USA,Poultry,2027,23689.0
USA,Poultry,2028,23788.0
USA,Wheat,2016,62833.0
USA,Wheat,2017,47345.0
USA,Wheat,2018,51287.0
USA,Wheat,2019,56052.0
USA,Wheat,2020,55468.0
USA,Wheat,2021,55395.0
USA,Wheat,2022,55314.0
USA,Wheat,2023,55762.0
USA,Wheat,2024,56210.0
USA,Wheat,2025,55975.0
USA,Wheat,2026,56417.0
USA,Wheat,2027,56305.0
USA,Wheat,2028,56743.0
USA,Sorghum,2016,12199.0
USA,Sorghum,2017,9242.0
USA,Sorghum,2018,9701.0
USA,Sorghum,2019,8560.0
USA,Sorghum,2020,8560.0
USA,Sorghum,2021,8713.0
USA,Sorghum,2022,8713.0
USA,Sorghum,2023,8713.0
USA,Sorghum,2024,8713.0
USA,Sorghum,2025,8890.0
USA,Sorghum,2026,8890.0
USA,Sorghum,2027,8890.0
USA,Sorghum,2028,8890.0
USA,Corn,2016,384778.0
USA,Corn,2017,370960.0
USA,Corn,2018,375374.0
USA,Corn,2019,379240.0
USA,Corn,2020,388130.0
USA,Corn,2021,392448.0
USA,Corn,2022,396766.0
USA,Corn,2023,401212.0
USA,Corn,2024,403117.0
USA,Corn,2025,407435.0
USA,Corn,2026,411753.0
USA,Corn,2027,413658.0
